path,title,record_kind,decision,evidence
"air/aircraft/bomber/b-52/README.md","B-52 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/bomber/README.md","Bomber Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/fighter/f-22/README.md","F-22 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/f-35/README.md","F-35 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/f-4/README.md","F-4 Phantom II Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/f-a-18/README.md","F/A-18 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/gripen/README.md","Gripen Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/j-10/README.md","J-10 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/j-16/README.md","J-16 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/j-20/README.md","J-20 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/mig-29/README.md","MiG-29 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/mig-31/README.md","MiG-31 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/mirage-f1/README.md","Mirage F1 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/rafale/README.md","Rafale Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/README.md","Fighter Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/fighter/su-27/README.md","Su-27 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/su-30/README.md","Su-30 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/su-35/README.md","Su-35 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter/typhoon/README.md","Typhoon Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/fighter-bomber/README.md","Fighter-Bomber Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/fighter-bomber/su-34/README.md","Su-34 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/ground-attack/README.md","Ground-Attack Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/ground-attack/tornado/README.md","Panavia Tornado Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/README.md","Aircraft Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/special_mission/electronic_attack/README.md","Electronic-Attack Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/special_mission/maritime_patrol/p-8/README.md","P-8 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/special_mission/maritime_patrol/README.md","Maritime-Patrol Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/special_mission/README.md","Special-Mission Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/transport/README.md","Transport Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/transport/strategic/a400m/README.md","A400M Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/transport/strategic/c-17/README.md","C-17 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/aircraft/transport/strategic/README.md","Strategic Transport Aircraft","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"air/aircraft/transport/strategic/y-20/README.md","Y-20 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"air/README.md","Air Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"ground/README.md","Ground Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"ground/vehicles/bmp/README.md","BMP Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/bradley/README.md","Bradley Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/challenger-2/README.md","Challenger 2 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/chieftain/README.md","Chieftain Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
