equipment_id,country,operator,domain,class,family,variant,status,catalog_path,source_ids,notes
eq-us-ground-stryker-m1126-icv,United States,US Army,ground,infantry_carrier,Stryker,M1126 ICV,parameter_complete,catalog/ground/vehicles/stryker/m1126-icv,p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-m1126icv-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1127-rv,United States,US Army,ground,reconnaissance,Stryker,M1127 RV,parameter_complete,catalog/ground/vehicles/stryker/m1127-rv,p5-us-ground-m1127-armor-army;p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-m1127rv-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1128-mgs,United States,US Army,ground,direct_fire,Stryker,M1128 MGS,parameter_complete,catalog/ground/vehicles/stryker/m1128-mgs,p5-us-ground-m1128-army;p5-us-ground-m1128-armor-army;p5-us-ground-stryker-m1128mgs-afvdatabase;p5-us-ground-stryker-family-gao03671;p5-us-ground-stryker-family-odin;p5-us-ground-stryker-family-armor2002;p5-us-ground-stryker-family-infantry2014;p5-us-ground-stryker-family-fortcarson-ea2014,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1129-mc,United States,US Army,ground,mortar_carrier,Stryker,M1129 MC,parameter_complete,catalog/ground/vehicles/stryker/m1129-mc,p5-us-ground-stryker-usace-dims;p5-us-ground-mortar-atp-3-21-90;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1129mc-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1130-cv,United States,US Army,ground,command,Stryker,M1130 CV,parameter_complete,catalog/ground/vehicles/stryker/m1130-cv,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1130cv-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1131-fsv,United States,US Army,ground,fire_support,Stryker,M1131 FSV,parameter_complete,catalog/ground/vehicles/stryker/m1131-fsv,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1131fsv-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1132-esv,United States,US Army,ground,engineer,Stryker,M1132 ESV,parameter_complete,catalog/ground/vehicles/stryker/m1132-esv,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1132esv-afvdatabase;p5-us-ground-stryker-family-gao03671;p5-us-ground-stryker-family-odin,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1133-mev,United States,US Army,ground,medical_evacuation,Stryker,M1133 MEV,parameter_complete,catalog/ground/vehicles/stryker/m1133-mev,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1133mev-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1134-atgm,United States,US Army,ground,anti_tank,Stryker,M1134 ATGM,parameter_complete,catalog/ground/vehicles/stryker/m1134-atgm,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-army-wsh-2020;p5-us-ground-stryker-m1134atgm-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
eq-us-ground-stryker-m1135-nbcrv,United States,US Army,ground,cbrn_reconnaissance,Stryker,M1135 NBCRV,parameter_complete,catalog/ground/vehicles/stryker/m1135-nbcrv,p5-us-ground-stryker-usace-dims;p5-us-ground-stryker-army-nbcrv-2006;p5-us-ground-stryker-pm-atlss;p5-us-ground-stryker-m1135nbcrv-afvdatabase;p5-us-ground-stryker-family-gao03671,target fields carried from the A-level package plus the GDLS manufacturer brochure; family-level rank-1 Army sources recorded; combat and shipping envelopes kept separate; open conflicts retained not resolved (M1128 gun M68A1E4 vs E8; M1132 crew 11 vs 8-10; M1134 combat height 137 vs 119.3 in); Tier C armor maximum is a plate value not a protection rating
