absolute_offset_deg,4,5,6,7,8,9,10,11,12,13,14,15,16
0,N,N,N,N,N,N,N,N,N,N,N,N,N
5,N,N,N,N,N,N,N,N,N,N,N,N,N
10,N,N,N,N,N,N,N,N,N,N,N,N,N
15,N,N,N,N,N,N,N,N,N,N,N,N,N
20,N,N,N,N,N,N,N,N,N,N,N,N,N
25,N,N,N,N,N,N,N,N,N,N,N,N,N
30,N,N,N,N,N,N,N,N,N,N,N,N,N
35,N,N,N,N,N,N,N,N,N,N,N,N,N
40,N,N,N,N,N,N,N,N,N,N,N,N,N
45,N,N,N,N,N,N,N,N,N,N,N,N,N
50,M,M,N,N,N,N,N,N,N,N,N,N,N
55,M,M,M,M,M,N,N,N,N,N,M,M,M
60,M,M,M,M,M,M,M,M,M,M,M,M,M
65,O,O,O,M,M,M,M,M,M,M,M,M,O
70,O,O,O,O,O,O,O,O,O,O,O,O,O
75,O,O,O,O,O,O,O,O,O,O,O,O,O
80,O,O,O,O,O,O,O,O,O,O,O,O,O
85,O,O,O,O,O,O,O,O,O,O,O,O,O
90,O,O,O,O,O,O,O,O,O,O,O,O,O
