classification_reason,diagnostics_profile_attached,existing_8_neighbor_count,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,neighbor_mixed_count,neighbor_robust_hit_count,neighbor_robust_miss_count,offset_deg,range_km,reclassified_launch_class,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,within_boundary_rho_band
cell_and_all_existing_8_neighbors_robust_hit,False,3,main,3,1.8014706545557722,0.0,0.0,0.0,0.0,6.124999999999999,6.124999999999999,0.0,0.0,0.999909169338077,True,0.0013624599288445817,0.0013624599288445817,0.0013624599288445817,0,3,0,0.0,4.0,N,[],True,9.08306619229721e-05,9.083066192297209e-05,9.08306619229721e-05,9.08306619229721e-05,robust_hit,3,3,1,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,8.45262287019296,0.0,0.0,2.061874341008482e-05,1.3745828940056636e-06,8.465838418090964,8.465838418090964,0.0,0.0,0.9999038983398167,True,0.0014415249027493933,0.001431215531044351,0.0014209061593393084,0,5,0,5.0,4.0,N,[],True,9.610166018329289e-05,9.541436873629007e-05,9.541436873629006e-05,9.472707728928722e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,14.10794152943415,0.0,0.0,1.1830100505557436e-06,7.886733670371443e-08,14.129855780725865,14.129855780725865,0.0,0.0,0.9999091171742642,True,0.0013632423860364385,0.0013626508810111607,0.0013620593759858827,0,5,0,10.0,4.0,N,[],True,9.088282573576256e-05,9.084339206741071e-05,9.084339206741071e-05,9.080395839905885e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,18.815106284839796,0.0,0.0,3.151077267465061e-06,2.1007181783100587e-07,18.845888267034333,18.845888267034333,0.0,0.0,0.9999089542796322,True,0.00136568580551642,0.0013641102668826876,0.001362534728248955,0,5,0,15.0,4.0,N,[],True,9.104572036776134e-05,9.094068445884584e-05,9.094068445884584e-05,9.083564854993033e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,23.311195865547845,0.0,0.0,4.368882566962258e-05,2.9125883779748294e-06,23.349109484679385,23.349109484679385,0.0,0.0,0.9998643990894719,True,0.002034013657922231,0.00201216924508742,0.0019903248322526083,0,5,0,20.0,4.0,N,[],True,0.00013560091052814872,0.00013414461633916132,0.0001341446163391613,0.0001326883221501739,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,27.59043372587877,0.0,0.0,3.2643896654520766e-05,2.1762597769680583e-06,27.63677369372507,27.63677369372507,0.0,0.0,0.9998860480949463,True,0.0017092785758054483,0.001692956627478188,0.0016766346791509275,0,5,0,25.0,4.0,N,[],True,0.00011395190505369656,0.00011286377516521252,0.00011286377516521253,0.0001117756452767285,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,31.63095446593127,0.0,0.0,3.3433934077708224e-06,2.2289289385138454e-07,31.683548893786497,31.683548893786497,0.0,0.0,0.9999088647557063,True,0.0013670286644062591,0.0013653569677023738,0.0013636852709984883,0,5,0,30.0,4.0,N,[],True,9.113524429375061e-05,9.102379784682492e-05,9.102379784682492e-05,9.091235139989922e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,34.99899960289609,0.0,0.07860262008733625,9.509588928710263e-06,6.339725952473599e-07,35.0,35.531434818658575,0.0,0.0,0.9999066140032723,True,0.001400789950916351,0.0013960351564519958,0.0013912803619876408,0,5,0,35.0,4.0,N,[],True,9.338599672775674e-05,9.306901043013305e-05,9.306901043013306e-05,9.275202413250938e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,34.999999999673044,0.0,0.2644628099173554,1.0650548556385281e-05,7.100365704256818e-07,35.0,41.22320542234637,0.0,0.0,0.9999044212859378,True,0.0014336807109334372,0.0014283554366552448,0.001423030162377052,0,5,0,40.0,4.0,N,[],True,9.557871406222914e-05,9.52236957770163e-05,9.52236957770163e-05,9.486867749180346e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,6,34.99999999999999,0.0,0.38721804511278196,4.060943236164913e-06,2.707295490776663e-07,35.0,49.44966667643102,0.0,0.0,0.9999077759835077,True,0.0013833602473852615,0.0013813297757671792,0.0013792993041490966,0,5,0,45.0,4.0,N,[],True,9.222401649235077e-05,9.208865171781194e-05,9.208865171781194e-05,9.19532869432731e-05,robust_hit,6,3,2,False
