angular_miss_to_hit_reversal_count,angular_miss_to_hit_reversals,boundary_status,first_robust_miss_above_theta_deg,first_robust_miss_angle_deg,mixed_angles_deg,range_km,right_censored_at_90deg,sampled_angle_count,theta_fuze_robust_hit_max_deg
0,[],bracketed_or_mixed,55.0,55.0,[],4.0,False,22,52.5
0,[],bracketed_or_mixed,57.5,57.5,[],4.5,False,7,55.0
0,[],bracketed_or_mixed,57.5,57.5,[],5.0,False,22,55.0
0,[],bracketed_or_mixed,60.0,60.0,[],5.5,False,5,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],6.0,False,22,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],6.5,False,5,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],7.0,False,22,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],7.5,False,7,57.5
0,[],bracketed_or_mixed,62.5,62.5,[],8.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],8.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],9.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],9.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],10.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],10.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],11.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],11.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],12.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],12.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],13.0,False,22,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],13.5,False,5,60.0
0,[],bracketed_or_mixed,62.5,62.5,[],14.0,False,22,60.0
0,[],bracketed_or_mixed,60.0,60.0,[],14.5,False,7,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],15.0,False,22,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],15.5,False,5,57.5
0,[],bracketed_or_mixed,60.0,60.0,[],16.0,False,22,57.5
