case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,seed_count,complete_effect_chain_count,in_radius_fuze_blocked_count,outside_no_load_count,chain_states,outcome_states,nearest_distance_min_m,nearest_distance_max_m,nearest_distance_spread_m,terminal_track_residual_causes,max_seeker_fov_excess_deg,max_detection_fov_excess_deg,structural_consistent,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_10km_m15deg,nonmaneuvering_constant_velocity,0.0,10.0,-15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001367000479717894,0.001367000479717894,0.0,[],71.14438280664268,71.14589460174679,True,False,False,False
kces_anchor_grid_cv_10km_m30deg,nonmaneuvering_constant_velocity,0.0,10.0,-30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013695418887230077,0.0013695418887230077,0.0,[],51.49408486117332,51.496798427494525,True,False,False,False
kces_anchor_grid_cv_10km_m45deg,nonmaneuvering_constant_velocity,0.0,10.0,-45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001402140071388814,0.001402140071388814,0.0,[],29.916950246694583,29.923019028623955,True,False,False,False
kces_anchor_grid_cv_10km_m60deg,nonmaneuvering_constant_velocity,0.0,10.0,-60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014000715131809443,0.0014000715131809443,0.0,[],3.3358304914331,3.3438321647741986,True,False,True,False
kces_anchor_grid_cv_10km_m75deg,nonmaneuvering_constant_velocity,0.0,10.0,-75.0,O,3,0,0,3,['outside_no_load'],[''],7942.472099642712,7942.472099642712,0.0,[],5.120745535599326,30.491313999990197,True,False,False,False
kces_anchor_grid_cv_10km_m90deg,nonmaneuvering_constant_velocity,0.0,10.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],10000.040404851581,10000.040404851581,0.0,[],0.0,77.11427498281057,True,False,False,False
kces_anchor_grid_cv_10km_p0deg,nonmaneuvering_constant_velocity,0.0,10.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013622121991446634,0.0013622121991446634,0.0,[],89.99999999999997,90.0,True,False,False,False
kces_anchor_grid_cv_10km_p15deg,nonmaneuvering_constant_velocity,0.0,10.0,15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013640877140751473,0.0013640877140751473,0.0,[],71.14438280664268,71.14589460174679,True,False,False,False
kces_anchor_grid_cv_10km_p30deg,nonmaneuvering_constant_velocity,0.0,10.0,30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013663727542851292,0.0013663727542851292,0.0,[],51.49408486117332,51.496798427494525,True,False,False,False
kces_anchor_grid_cv_10km_p45deg,nonmaneuvering_constant_velocity,0.0,10.0,45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013970930274600287,0.0013970930274600287,0.0,[],29.916950246694583,29.923019028623955,True,False,False,False
