case_id,seed,target_motion_layer,target_motion_profile_id,maneuver_severity,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,nearest_distance_m,entered_R_fuze,fuze_triggered,detonated,fuze_reason,fuze_terminal_track_valid,fuze_target_detected,fuze_sensor_opportunity_score,fuze_quality,seeker_fov_half_angle_deg,max_abs_filtered_bearing_deg,max_seeker_fov_excess_deg,max_abs_detection_bearing_deg,max_detection_fov_excess_deg,first_detection_outside_fov_time_s,first_memory_time_s,first_ballistic_time_s,track_memory_timeout_s,observed_memory_to_ballistic_s,last_runtime_seeker_mode,last_runtime_seeker_mode_name,terminal_track_residual_cause,effect_family,component_load_row_count,component_response_row_count,consequence_present,consequence_zero_when_untriggered,outcome_state,chain_state,stage_ids_exact,stage_owners_clean,approach_and_fuze_observed,response_owner_clean,no_guidance_override,resolved_runtime_mismatch,authority_guarded,structural_consistent,structural_violations,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_10km_m15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-15.0,N,0.001367000479717894,True,True,True,fuze_armed,True,True,1.0,0.9999316499760141,90.0,161.14438280664268,71.14438280664268,161.1458946017468,71.14589460174679,7.533333333333333,7.55,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_m30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-30.0,M,0.0013695418887230077,True,True,True,fuze_armed,True,True,1.0,0.9999315229055639,90.0,141.49408486117332,51.49408486117332,141.49679842749453,51.496798427494525,9.016666666666666,9.033333333333333,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_m45deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-45.0,M,0.001402140071388814,True,True,True,fuze_armed,True,True,1.0,0.9999298929964305,90.0,119.91695024669458,29.916950246694583,119.92301902862395,29.923019028623955,11.883333333333333,11.9,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_m60deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-60.0,O,0.0014000715131809443,True,True,True,fuze_armed,True,True,1.0,0.999929996424341,90.0,93.3358304914331,3.3358304914331,93.3438321647742,3.3438321647741986,18.016666666666666,18.03333333333333,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_10km_m75deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-75.0,O,7942.472099642712,False,False,False,miss_outside_trigger_radius,False,False,0.0,0.0,90.0,95.12074553559933,5.120745535599326,120.4913139999902,30.491313999990197,2.6166666666666667,2.6333333333333333,3.3666666666666667,0.75,0.7333333333333334,2,ballistic,,,0,0,False,True,,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_m90deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,-90.0,O,10000.040404851581,False,False,False,missile_max_flight_time_exceeded,False,False,0.0,0.0,90.0,90.0,0.0,167.11427498281057,77.11427498281057,0.0,0.016666666666666666,0.75,0.75,0.7333333333333333,2,ballistic,,blast_fragmentation,0,0,True,True,missile_timeout,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_p0deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,0.0,N,0.0013622121991446634,True,True,True,fuze_armed,True,True,1.0,0.9999318893900427,90.0,179.99999999999997,89.99999999999997,180.0,90.0,7.25,7.266666666666667,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_p15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,15.0,N,0.0013640877140751473,True,True,True,fuze_armed,True,True,1.0,0.9999317956142962,90.0,161.14438280664268,71.14438280664268,161.1458946017468,71.14589460174679,7.533333333333333,7.55,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_p30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,30.0,M,0.0013663727542851292,True,True,True,fuze_armed,True,True,1.0,0.9999316813622857,90.0,141.49408486117332,51.49408486117332,141.49679842749453,51.496798427494525,9.016666666666666,9.033333333333333,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_10km_p45deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,45.0,M,0.0013970930274600287,True,True,True,fuze_armed,True,True,1.0,0.999930145348627,90.0,119.91695024669458,29.916950246694583,119.92301902862395,29.923019028623955,11.883333333333333,11.9,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
