item_id,record_type,parent_component_name,system,component_role,prior_shape,prior_axis,nominal_dimensions_m,size_evidence_level,bound_region_id,owner_region_ids,current_outside_views,current_outside_sample_count,candidate_outside_views,candidate_outside_sample_count,outside_sample_reduction,candidate_center_shift_m,candidate_center_m,triage_status,recommended_action,runtime_projection_status
apg68_radar_array,receiver_prior,apg68_radar_array,radar,sensor_aperture_receiver,ellipsoid,,0.1016;0.7366;0.4826,public_related_family_dimension_not_apg68_exact,nose_radome,nose_radome;forward_fuselage,,0,,0,0,0.0,4.187559;0.0;-0.52538,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
cockpit_crew_station,receiver_prior,cockpit_crew_station,cockpit,crew_volume_receiver,ellipsoid,,1.25;0.508;1.15,public_partial_dimension_engineering_envelope,forward_fuselage,canopy;forward_fuselage,,0,,0,0,0.0,3.787559;0.0;-0.62538,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
dedicated_canopy_surface_component,receiver_prior,dedicated_canopy_surface_component,cockpit,surface_receiver,ellipsoid,,1.496;0.66;0.196,asset_mesh_derived_surface_not_public_engineering_dimension,canopy,canopy,,0,,0,0,0.0,3.41;0.0;-0.3,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
nose_avionics_bay,receiver_prior,nose_avionics_bay,avionics,avionics_bay_receiver,obb,,0.320548;0.123952;0.14351,standard_enclosure_proxy_not_true_f16_bay,forward_fuselage,forward_fuselage,,0,,0,0,0.0,5.287559;0.0;-0.82538,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
iff_interrogator,receiver_prior,iff_interrogator,avionics,small_avionics_receiver,ellipsoid,,0.3683;0.1524;0.209804,public_lru_dimension_related_f16_iff_family,nose_radome,nose_radome,,0,,0,0,0.0,5.287559;0.0;-0.82538,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
center_fuselage_fuel_cell,receiver_prior,center_fuselage_fuel_cell,fuel,fuel_cell_receiver,ellipsoid,,2.6;0.9;0.72,public_total_capacity_partition_estimate,center_fuselage,center_fuselage,,0,side,1,-1,0.171174,-0.278842;0.0;-0.429797,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
mission_computer,receiver_prior,mission_computer,avionics,avionics_box_receiver,obb,,0.320548;0.123952;0.14351,standard_enclosure_proxy_pending_f16_mmc_dimensions,center_fuselage,center_fuselage,,0,,0,0,0.0,1.68794;0.0;-0.365384,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
data_link_terminal,receiver_prior,data_link_terminal,data_link,small_avionics_receiver,obb,,0.3429;0.1905;0.19304,public_lru_dimension,center_fuselage,center_fuselage,,0,,0,0,0.0,-1.29108;0.0;-0.985042,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
flight_control_computer,receiver_prior,flight_control_computer,flight_control,avionics_box_receiver,obb,,0.320548;0.123952;0.14351,standard_enclosure_proxy_pending_f16_flcc_dimensions,center_fuselage,center_fuselage,,0,,0,0,0.0,-0.064081;0.45;-0.726398,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
inertial_navigation_unit,receiver_prior,inertial_navigation_unit,navigation,small_avionics_receiver,ellipsoid,,0.24892;0.1778;0.1778,public_lru_dimension,forward_fuselage,forward_fuselage,,0,,0,0,0.0,2.6;0.0;0.01467,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
dedicated_intake_lip_or_duct_component,receiver_prior,dedicated_intake_lip_or_duct_component,engine,duct_receiver,ellipsoid,,1.0;0.58;1.1,asset_mesh_derived_duct_dimension_not_public_engineering_dimension,intake,intake,,0,,0,0,0.0,3.39;0.0;-0.64,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
electrical_power_bus,receiver_prior,electrical_power_bus,avionics,electrical_bus_receiver,capsule,x,0.45;0.06;0.06,low_confidence_engineering_proxy,aft_fuselage_engine,aft_fuselage_engine,,0,,0,0,0.0,-2.8;-1e-06;-0.296449,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
engine_core,receiver_prior,engine_core,engine,cross_region_engine_receiver,capsule,x,4.62026;1.1811;1.1811,public_engine_dimension,aft_fuselage_engine,aft_fuselage_engine;engine_nozzle;intake,,0,,0,0,0.0,-3.693053;0.0;-0.554381,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
afterburner_nozzle,receiver_prior,afterburner_nozzle,engine,nozzle_receiver,ellipsoid,,0.75;1.1811;1.1811,public_engine_diameter_mesh_length_estimate,engine_nozzle,engine_nozzle;aft_fuselage_engine,,0,side,1,-1,0.208771,-5.958771;-0.2;-0.7,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
