component_name,system,critical,hitbox_index,bound_region_id,bound_region_role,component_overlap_fraction,region_overlap_fraction,center_inside_bound_region,center_distance_m,outer_envelope_containment_fraction,review_status,review_semantics,review_severity,anomalies,geometry_observations,suppressed_anomalies,semantic_region_ids,side_sign_mismatch,blocked_region_binding
apg68_radar_array,radar,True,0,nose_radome,outer_skin,1.0,0.11383,True,0.270158,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
cockpit_crew_station,cockpit,True,0,forward_fuselage,outer_skin,0.64554,0.11319,True,1.30846,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
dedicated_canopy_surface_component,cockpit,False,0,canopy,raised_outer_skin,1.0,0.17044,True,0.003569,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
nose_avionics_bay,avionics,True,0,forward_fuselage,outer_skin,1.0,0.05469,True,0.994501,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
iff_interrogator,avionics,False,0,nose_radome,outer_skin,1.0,0.02426,True,0.587669,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
center_fuselage_fuel_cell,fuel,True,1,center_fuselage,outer_skin,0.95175,0.13817,True,1.092771,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
mission_computer,avionics,True,1,center_fuselage,outer_skin,1.0,0.07777,True,1.261236,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
data_link_terminal,data_link,False,1,center_fuselage,outer_skin,0.58421,0.02019,True,2.078877,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
flight_control_computer,flight_control,True,1,center_fuselage,outer_skin,1.0,0.01512,True,0.62816,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
inertial_navigation_unit,navigation,True,1,forward_fuselage,outer_skin,0.92368,0.02063,True,1.244077,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
dedicated_intake_lip_or_duct_component,engine,False,1,intake,outer_skin,1.0,0.23206,True,0.010895,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
electrical_power_bus,avionics,True,1,aft_fuselage_engine,outer_skin,1.0,0.0112,True,1.12002,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
engine_core,engine,True,2,aft_fuselage_engine,outer_skin,0.49081,0.04714,True,2.155386,1.0,review_only_cross_region_boundary_candidate,cross_region_boundary_candidate_review_only,review_only_candidate,,low_outer_region_overlap,low_outer_region_overlap,aft_fuselage_engine;engine_nozzle;intake,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
afterburner_nozzle,engine,False,2,engine_nozzle,outer_skin,1.0,0.08837,True,0.515718,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
tail_hydraulic_pump,hydraulic,True,2,aft_fuselage_engine,outer_skin,0.62381,0.00947,True,1.685224,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
engine_fuel_control_unit,engine,True,2,aft_fuselage_engine,outer_skin,1.0,0.01328,True,1.224129,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
rudder_actuator,flight_control,False,2,vertical_tail,tail_surface,1.0,0.04223,True,0.725618,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
left_horizontal_tail_actuator_or_surface_component,flight_control,False,2,left_horizontal_tail,tail_surface,1.0,0.14472,True,0.005225,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
right_horizontal_tail_actuator_or_surface_component,flight_control,False,2,right_horizontal_tail,tail_surface,1.0,0.14472,True,0.005224,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
left_wing_fuel_cell,fuel,True,3,left_wing,lifting_surface,1.0,0.08093,True,0.797227,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
right_wing_fuel_cell,fuel,True,3,right_wing,lifting_surface,1.0,0.08093,True,0.797217,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
left_aileron_actuator,flight_control,False,3,left_wing,lifting_surface,1.0,0.04451,True,1.464753,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
right_aileron_actuator,flight_control,False,3,right_wing,lifting_surface,1.0,0.04451,True,1.464791,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
wing_spar_center,wings,True,3,center_fuselage,outer_skin,0.24515,0.0604,True,1.06379,1.0,review_only_cross_region_semantic_hold,cross_region_structural_semantic_hold,review_only_hold,,low_outer_region_overlap,low_outer_region_overlap,center_fuselage;left_wing_root;right_wing_root;left_wing;right_wing,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
left_leading_edge_flap_actuator,flight_control,False,3,left_wing_root,structural_transition,1.0,0.02077,True,0.941896,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
right_leading_edge_flap_actuator,flight_control,False,3,right_wing_root,structural_transition,1.0,0.02077,True,0.941896,1.0,candidate_binding,candidate_direct_region_binding,candidate,,,,,False,"{""blocked"": false, ""blocked_region_id"": """", ""preferred_region_ids"": []}"
