point_index,point_id,aspect,point_m,nearest_outer_region_id,nearest_outer_distance_m,inside_outer_region_count,nearest_component_name,nearest_component_distance_m,inside_component_count,candidate_component_count,interpretation
1,nose_axis_4m,nose,4.0;0.0;0.0,forward_fuselage,0.0,3,dedicated_canopy_surface_component,0.125,0,7,inside_outer_shape_with_nearby_component_candidates_review_only
2,nose_axis_6m,nose,6.0;0.0;0.0,nose_radome,0.349524,0,cockpit_crew_station,0.0,1,5,point_inside_component_box_review_only
3,tail_axis_4m,tail,-4.0;0.0;0.0,aft_fuselage_engine,0.0,1,engine_fuel_control_unit,0.505594,0,10,inside_outer_shape_with_nearby_component_candidates_review_only
4,tail_axis_6m,tail,-6.0;0.0;0.0,vertical_tail,0.088577,0,engine_core,0.0,1,7,point_inside_component_box_review_only
5,right_beam_4m,beam,0.0;4.0;0.0,right_wing,0.868724,0,wing_spar_center,0.7,0,3,outside_outer_shape_but_near_component_candidate_review_only
6,right_beam_6m,beam,0.0;6.0;0.0,right_wing,1.468711,0,right_aileron_actuator,1.771475,0,1,outside_outer_shape_but_near_component_candidate_review_only
7,left_beam_4m,beam,0.0;-4.0;0.0,left_wing,0.868724,0,wing_spar_center,0.7,0,3,outside_outer_shape_but_near_component_candidate_review_only
8,left_beam_6m,beam,0.0;-6.0;0.0,left_wing,1.468704,0,left_aileron_actuator,1.771475,0,1,outside_outer_shape_but_near_component_candidate_review_only
9,above_4m,above,0.0;0.0;4.0,center_fuselage,3.207745,0,flight_control_computer,3.411103,0,0,outside_outer_shape_no_near_component_candidate_review_only
10,below_4m,below,0.0;0.0;-4.0,left_wing_root,2.892347,0,left_leading_edge_flap_actuator,3.324154,0,0,outside_outer_shape_no_near_component_candidate_review_only
