item_id,record_type,component_name,parent_component_name,system,prior_shape,prior_axis,nominal_dimensions_m,owner_region_ids,outside_views,outside_sample_count,max_outside_distance_m,exceeds_tolerance
afterburner_nozzle,receiver_prior,afterburner_nozzle,afterburner_nozzle,engine,frustum,x,0.75;1.1811;1.1811,engine_nozzle;aft_fuselage_engine,,0,0.0,False
apg68_radar_array,receiver_prior,apg68_radar_array,apg68_radar_array,radar,ellipsoid,,0.1016;0.7366;0.4826,nose_radome;forward_fuselage,,0,0.0,False
center_fuselage_fuel_cell,receiver_prior,center_fuselage_fuel_cell,center_fuselage_fuel_cell,fuel,ellipsoid,,2.6;0.9;0.72,center_fuselage,,0,0.0,False
cockpit_crew_station,receiver_prior,cockpit_crew_station,cockpit_crew_station,cockpit,ellipsoid,,1.25;0.508;1.15,canopy;forward_fuselage,,0,0.0,False
data_link_terminal,receiver_prior,data_link_terminal,data_link_terminal,data_link,obb,,0.3429;0.1905;0.19304,center_fuselage,,0,0.0,False
dedicated_canopy_surface_component,receiver_prior,dedicated_canopy_surface_component,dedicated_canopy_surface_component,cockpit,ellipsoid,,1.496;0.66;0.196,canopy,,0,0.0,False
dedicated_intake_lip_or_duct_component,receiver_prior,dedicated_intake_lip_or_duct_component,dedicated_intake_lip_or_duct_component,engine,ellipsoid,,1.0;0.58;1.1,intake,,0,0.0,False
electrical_power_bus,receiver_prior,electrical_power_bus,electrical_power_bus,avionics,capsule,x,0.45;0.06;0.06,aft_fuselage_engine,,0,0.0,False
engine_core,receiver_prior,engine_core,engine_core,engine,capsule,x,4.62026;1.1811;1.1811,aft_fuselage_engine;engine_nozzle;intake,,0,0.0,False
engine_fuel_control_unit,receiver_prior,engine_fuel_control_unit,engine_fuel_control_unit,engine,obb,,0.320548;0.123952;0.14351,aft_fuselage_engine,,0,0.0,False
flight_control_computer,receiver_prior,flight_control_computer,flight_control_computer,flight_control,obb,,0.320548;0.123952;0.14351,center_fuselage,,0,0.0,False
iff_interrogator,receiver_prior,iff_interrogator,iff_interrogator,avionics,ellipsoid,,0.3683;0.1524;0.209804,nose_radome,,0,0.0,False
inertial_navigation_unit,receiver_prior,inertial_navigation_unit,inertial_navigation_unit,navigation,ellipsoid,,0.24892;0.1778;0.1778,forward_fuselage,,0,0.0,False
left_aileron_actuator,receiver_prior,left_aileron_actuator,left_aileron_actuator,flight_control,capsule,y,0.08;0.45;0.08,left_wing,,0,0.0,False
left_horizontal_tail_actuator_or_surface_component,receiver_prior,left_horizontal_tail_actuator_or_surface_component,left_horizontal_tail_actuator_or_surface_component,flight_control,capsule,y,0.08;0.65;0.08,left_horizontal_tail,,0,0.0,False
left_leading_edge_flap_actuator,receiver_prior,left_leading_edge_flap_actuator,left_leading_edge_flap_actuator,flight_control,capsule,y,0.08;0.55;0.08,left_wing_root,,0,0.0,False
left_wing_fuel_cell,receiver_prior,left_wing_fuel_cell,left_wing_fuel_cell,fuel,thin_prism,,1.85;1.73;0.15,left_wing,,0,0.0,False
mission_computer,receiver_prior,mission_computer,mission_computer,avionics,obb,,0.320548;0.123952;0.14351,center_fuselage,,0,0.0,False
nose_avionics_bay,receiver_prior,nose_avionics_bay,nose_avionics_bay,avionics,obb,,0.320548;0.123952;0.14351,forward_fuselage,,0,0.0,False
right_aileron_actuator,receiver_prior,right_aileron_actuator,right_aileron_actuator,flight_control,capsule,y,0.08;0.45;0.08,right_wing,,0,0.0,False
right_horizontal_tail_actuator_or_surface_component,receiver_prior,right_horizontal_tail_actuator_or_surface_component,right_horizontal_tail_actuator_or_surface_component,flight_control,capsule,y,0.08;0.65;0.08,right_horizontal_tail,,0,0.0,False
right_leading_edge_flap_actuator,receiver_prior,right_leading_edge_flap_actuator,right_leading_edge_flap_actuator,flight_control,capsule,y,0.08;0.55;0.08,right_wing_root,,0,0.0,False
right_wing_fuel_cell,receiver_prior,right_wing_fuel_cell,right_wing_fuel_cell,fuel,thin_prism,,1.85;1.73;0.15,right_wing,,0,0.0,False
rudder_actuator,receiver_prior,rudder_actuator,rudder_actuator,flight_control,capsule,z,0.08;0.08;0.45,vertical_tail,,0,0.0,False
tail_hydraulic_pump,receiver_prior,tail_hydraulic_pump,tail_hydraulic_pump,hydraulic,obb,,0.25;0.18;0.18,aft_fuselage_engine,,0,0.0,False
wing_spar_center,receiver_prior,wing_spar_center,wing_spar_center,wings,thin_prism,,0.5;5.8;0.18,center_fuselage;left_wing_root;right_wing_root;left_wing;right_wing,,0,0.0,False
