case_id,range_km,signed_bearing_deg,launch_class,R_effect_variant,R_effect_source,guidance_expectation_status,entered_R_fuze,rho_fuze,detonated,R_effect_m,effect_band,rho_effect_case,component_response_quantized_band,component_response_sampled_failure_observed,component_response_expectation_status,envelope_cell_status,envelope_owner_stage,p_max,delta_abs,n_sampled,n_rows
kces_anchor_grid_cv_4km_p0deg,4.0,0.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,9.08306619229721e-05,True,9.0,core,0.00015138443653828684,severe_response,True,satisfied,satisfied,no_review_pressure,0.8896622497206044,0.32930327960329164,3,6
kces_anchor_grid_cv_4km_m15deg,4.0,-15.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,0.1996166560034541,True,9.0,effective,0.3326944266724235,severe_response,True,satisfied,satisfied,no_review_pressure,0.8857869446659574,0.3768394611100312,2,6
kces_anchor_grid_cv_4km_p15deg,4.0,15.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,0.19962086656975953,True,9.0,effective,0.3327014442829326,severe_response,True,satisfied,satisfied,no_review_pressure,0.8856614848039789,0.37679268742836824,2,6
kces_anchor_grid_cv_4km_m30deg,4.0,-30.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,0.6307325565022268,True,9.0,outside_effect,1.0512209275037112,trace_response,False,satisfied,satisfied,no_review_pressure,0.008649500378608573,0.005877934040605548,0,4
kces_anchor_grid_cv_4km_p30deg,4.0,30.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,0.6307359108463404,True,9.0,outside_effect,1.051226518077234,trace_response,False,satisfied,satisfied,no_review_pressure,0.008657485926310137,0.006433787619466558,0,4
kces_anchor_grid_cv_4km_m45deg,4.0,-45.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,guidance_or_model_residual,False,1.4958821510618132,False,9.0,outside_effect,2.493136918436355,no_component_response,False,satisfied,guidance_or_model_residual,launch_window -> guidance_approach,,0.0,0,0
kces_anchor_grid_cv_4km_p45deg,4.0,45.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,guidance_or_model_residual,False,1.4958840663799733,False,9.0,outside_effect,2.493140110633289,no_component_response,False,satisfied,guidance_or_model_residual,launch_window -> guidance_approach,,0.0,0,0
kces_anchor_grid_cv_4km_m60deg,4.0,-60.0,M,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,observed_marginal,False,14.237579633391924,False,9.0,outside_effect,23.72929938898654,no_component_response,False,satisfied,boundary_observation,launch_window,,0.0,0,0
kces_anchor_grid_cv_4km_p60deg,4.0,60.0,M,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,observed_marginal,False,14.237580525206322,False,9.0,outside_effect,23.72930087534387,no_component_response,False,satisfied,boundary_observation,launch_window,,0.0,0,0
kces_anchor_grid_cv_4km_m75deg,4.0,-75.0,M,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,observed_marginal,False,114.71597000638722,False,9.0,outside_effect,191.19328334397872,no_component_response,False,satisfied,boundary_observation,launch_window,,0.0,0,0
kces_anchor_grid_cv_4km_p75deg,4.0,75.0,M,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,observed_marginal,False,114.71597167544056,False,9.0,outside_effect,191.19328612573426,no_component_response,False,satisfied,boundary_observation,launch_window,,0.0,0,0
kces_anchor_grid_cv_4km_m90deg,4.0,-90.0,O,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,negative_control_satisfied,False,253.15129624096963,False,9.0,outside_effect,421.9188270682827,no_component_response,False,satisfied,satisfied,negative_control_satisfied,,0.0,0,0
kces_anchor_grid_cv_4km_p90deg,4.0,90.0,O,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,negative_control_satisfied,False,253.15130154612154,False,9.0,outside_effect,421.9188359102026,no_component_response,False,satisfied,satisfied,negative_control_satisfied,,0.0,0,0
kces_anchor_grid_cv_6km_p0deg,6.0,0.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,9.081797298305444e-05,True,9.0,core,0.00015136328830509075,severe_response,True,satisfied,satisfied,no_review_pressure,0.889662287842263,0.3293032919754748,3,6
kces_anchor_grid_cv_6km_m15deg,6.0,-15.0,N,REV-RUNTIME-PROJECTION,missile_runtime_projection.resolved_projection_radius_m,satisfied,True,0.2139283668747149,True,9.0,effective,0.35654727812452486,severe_response,True,satisfied,satisfied,no_review_pressure,0.8857890082487979,0.3768402304506422,2,6
