nav_gain,absolute_offset_deg,4,5,6,7,8,9,10,11,12,13,14,15,16
3.5,0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,5,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,10,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,15,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,20,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,25,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,30,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,35,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,40,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,45,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,50,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,55,unchanged,lost,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,60,unchanged,unchanged,unchanged,unchanged,lost,lost,lost,lost,lost,lost,lost,unchanged,unchanged
3.5,65,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,70,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,75,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,80,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,85,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.5,90,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.75,0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
3.75,5,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
