changed,new_launch_class,offset_deg,old_launch_class,range_km,rho_max,rho_min,robust_state,transition
False,N,0.0,N,4.0,9.08306619229721e-05,9.08306619229721e-05,robust_hit,N->N
False,N,15.0,N,4.0,9.104572036776134e-05,9.083564854993033e-05,robust_hit,N->N
False,N,30.0,N,4.0,9.113524429375061e-05,9.091235139989922e-05,robust_hit,N->N
True,N,45.0,M,4.0,9.222401649235077e-05,9.19532869432731e-05,robust_hit,M->N
False,M,60.0,M,4.0,63.675028143695506,63.67502697921895,robust_miss,M->M
True,O,75.0,M,4.0,234.34666767009512,234.34666312768613,robust_miss,M->O
False,O,90.0,O,4.0,266.6734140539796,266.67340644437695,robust_miss,O->O
False,N,0.0,N,6.0,9.081797298305444e-05,9.081797298305444e-05,robust_hit,N->N
False,N,15.0,N,6.0,9.184412643516213e-05,9.143575751230411e-05,robust_hit,N->N
False,N,30.0,N,6.0,9.206204444346391e-05,9.171285473876133e-05,robust_hit,N->N
True,N,45.0,M,6.0,9.4170563950154e-05,9.379689492074704e-05,robust_hit,M->N
False,M,60.0,M,6.0,24.198889522779684,24.198889058530384,robust_miss,M->M
False,O,75.0,O,6.0,354.7839847454607,354.78398067957966,robust_miss,O->O
False,O,90.0,O,6.0,400.00449955810933,400.00449194839973,robust_miss,O->O
False,N,0.0,N,8.0,9.081414224252183e-05,9.081414224252183e-05,robust_hit,N->N
False,N,15.0,N,8.0,9.167264414299988e-05,9.13342488019334e-05,robust_hit,N->N
False,N,30.0,N,8.0,9.169432324394056e-05,9.140647174571362e-05,robust_hit,N->N
True,N,45.0,M,8.0,9.245144562581788e-05,9.219561663241922e-05,robust_hit,M->N
False,M,60.0,M,8.0,0.04316887604717692,0.04316886061085944,robust_hit,M->M
False,O,75.0,O,8.0,478.9701376752643,478.9701340416113,robust_miss,O->O
False,O,90.0,O,8.0,533.3367089614377,533.3367013516906,robust_miss,O->O
False,N,0.0,N,10.0,9.081414660964423e-05,9.081414660964423e-05,robust_hit,N->N
False,N,15.0,N,10.0,9.15017732817096e-05,9.120263749024214e-05,robust_hit,N->N
True,N,30.0,M,10.0,9.238731217147122e-05,9.199833175885935e-05,robust_hit,M->N
True,N,45.0,M,10.0,9.244653737974077e-05,9.219673710829089e-05,robust_hit,M->N
True,M,60.0,O,10.0,0.05497474245602397,0.05497472179989514,robust_hit,O->M
False,O,75.0,O,10.0,603.5678459245918,603.5678427100605,robust_miss,O->O
False,O,90.0,O,10.0,666.6693679332033,666.6693603234387,robust_miss,O->O
False,N,0.0,N,12.0,9.081415124102169e-05,9.081415124102169e-05,robust_hit,N->N
True,N,15.0,M,12.0,9.097986421893807e-05,9.084946887478596e-05,robust_hit,M->N
True,N,30.0,M,12.0,9.16927450331866e-05,9.140784104425896e-05,robust_hit,M->N
True,N,45.0,O,12.0,9.284620543227686e-05,9.257222798210347e-05,robust_hit,O->N
True,M,60.0,O,12.0,9.120426658420705e-05,9.120388056100797e-05,robust_hit,O->M
False,O,75.0,O,12.0,729.6886526423563,729.6886497756443,robust_miss,O->O
False,O,90.0,O,12.0,800.0022516909885,800.0022440812146,robust_miss,O->O
True,N,0.0,M,16.0,9.081416133119028e-05,9.081416133119028e-05,robust_hit,M->N
True,N,15.0,M,16.0,9.12962026852454e-05,9.10514827168055e-05,robust_hit,M->N
True,N,30.0,O,16.0,9.157409569133475e-05,9.131217874824774e-05,robust_hit,O->N
True,N,45.0,O,16.0,9.300231385330976e-05,9.272716386565772e-05,robust_hit,O->N
True,M,60.0,O,16.0,11.153562662470172,11.15356234105539,robust_miss,O->M
False,O,75.0,O,16.0,980.1862401264108,980.1862372793805,robust_miss,O->O
False,O,90.0,O,16.0,1066.6683563871707,1066.6683487773873,robust_miss,O->O
