case_group,mirror_abs_difference_m,offset_deg,pair_count,pair_entered_R_fuze,pair_mean_nearest_distance_m,range_km,variant_id
N30,5.009309678705165e-05,30.0,2,True,9.098343455215627,4.0,analytic_track_quadratic_no_apn
M45,2.8631896711317495e-05,45.0,2,False,17.56586425141634,4.0,analytic_track_quadratic_no_apn
N30,3.469505671027662e-05,30.0,2,True,9.623218157283901,6.0,analytic_track_quadratic_no_apn
M45,2.2370823408834895e-05,45.0,2,False,17.678492922466006,6.0,analytic_track_quadratic_no_apn
N30,3.293315689489873e-05,30.0,2,True,10.037750449974185,8.0,analytic_track_quadratic_no_apn
M45,2.0431883459792743e-05,45.0,2,False,18.104253756744313,8.0,analytic_track_quadratic_no_apn
stress60,1.6033435400686358e-05,60.0,2,False,233.6030496128867,8.0,analytic_track_quadratic_no_apn
O_near,1.851907700256561e-05,60.0,2,False,574.9876331640974,10.0,analytic_track_quadratic_no_apn
O_near,1.5469324825545527e-05,45.0,2,False,25.206999272046396,12.0,analytic_track_quadratic_no_apn
O_far,2.70939891873212e-05,30.0,2,True,13.109694581666545,16.0,analytic_track_quadratic_no_apn
N30,5.047558315851575e-05,30.0,2,True,10.135068174496855,4.0,analytic_track_velocity_no_apn
M45,2.9291384329610537e-05,45.0,2,False,18.760477473278918,4.0,analytic_track_velocity_no_apn
N30,3.447471043749317e-05,30.0,2,True,10.203764273403607,6.0,analytic_track_velocity_no_apn
M45,2.2374502730571066e-05,45.0,2,False,18.67755406077506,6.0,analytic_track_velocity_no_apn
N30,3.296665663299336e-05,30.0,2,True,10.571682305870123,8.0,analytic_track_velocity_no_apn
M45,2.0731321217937193e-05,45.0,2,False,19.25718343189598,8.0,analytic_track_velocity_no_apn
stress60,1.6028741612217345e-05,60.0,2,False,241.46927713274295,8.0,analytic_track_velocity_no_apn
O_near,1.8501023760109092e-05,60.0,2,False,585.9854882933685,10.0,analytic_track_velocity_no_apn
O_near,1.61515406453816e-05,45.0,2,False,27.819376639918445,12.0,analytic_track_velocity_no_apn
O_far,2.7511136542202053e-05,30.0,2,True,13.882981973397907,16.0,analytic_track_velocity_no_apn
N30,5.075043395397216e-05,30.0,2,True,7.024353568521045,4.0,analytic_truth_quadratic_no_apn
M45,2.940224526781776e-05,45.0,2,False,15.63923011142604,4.0,analytic_truth_quadratic_no_apn
N30,3.5221544999686216e-05,30.0,2,True,7.1393308544024645,6.0,analytic_truth_quadratic_no_apn
M45,2.2507831621609853e-05,45.0,2,True,14.70760891312451,6.0,analytic_truth_quadratic_no_apn
N30,3.319356282638353e-05,30.0,2,True,7.382443401595838,8.0,analytic_truth_quadratic_no_apn
M45,2.0315922718339152e-05,45.0,2,True,14.843025658179755,8.0,analytic_truth_quadratic_no_apn
stress60,2.5824781211269965e-06,60.0,2,False,20.378136544693994,8.0,analytic_truth_quadratic_no_apn
O_near,3.40755217109745e-06,60.0,2,False,82.38465890067548,10.0,analytic_truth_quadratic_no_apn
O_near,1.1578336216899743e-05,45.0,2,False,16.52844502467468,12.0,analytic_truth_quadratic_no_apn
O_far,2.7338305764956772e-05,30.0,2,True,9.50305477038033,16.0,analytic_truth_quadratic_no_apn
N30,5.075043395397216e-05,30.0,2,True,7.024353568521045,4.0,analytic_truth_velocity_apn
M45,2.940224526781776e-05,45.0,2,False,15.63923011142604,4.0,analytic_truth_velocity_apn
N30,3.5221544999686216e-05,30.0,2,True,7.1393308544024645,6.0,analytic_truth_velocity_apn
M45,2.2507831621609853e-05,45.0,2,True,14.70760891312451,6.0,analytic_truth_velocity_apn
N30,3.319356282638353e-05,30.0,2,True,7.382443401595838,8.0,analytic_truth_velocity_apn
M45,2.0315922718339152e-05,45.0,2,True,14.843025658179755,8.0,analytic_truth_velocity_apn
stress60,2.5824781211269965e-06,60.0,2,False,20.378136544693994,8.0,analytic_truth_velocity_apn
O_near,3.40755217109745e-06,60.0,2,False,82.38465890067548,10.0,analytic_truth_velocity_apn
O_near,1.1578336216899743e-05,45.0,2,False,16.52844502467468,12.0,analytic_truth_velocity_apn
O_far,2.7338305764956772e-05,30.0,2,True,9.50305477038033,16.0,analytic_truth_velocity_apn
N30,5.075043395397216e-05,30.0,2,True,7.024353568521045,4.0,analytic_truth_velocity_no_apn
M45,2.940224526781776e-05,45.0,2,False,15.63923011142604,4.0,analytic_truth_velocity_no_apn
N30,3.5221544999686216e-05,30.0,2,True,7.1393308544024645,6.0,analytic_truth_velocity_no_apn
M45,2.2507831621609853e-05,45.0,2,True,14.70760891312451,6.0,analytic_truth_velocity_no_apn
N30,3.319356282638353e-05,30.0,2,True,7.382443401595838,8.0,analytic_truth_velocity_no_apn
M45,2.0315922718339152e-05,45.0,2,True,14.843025658179755,8.0,analytic_truth_velocity_no_apn
stress60,2.5824781211269965e-06,60.0,2,False,20.378136544693994,8.0,analytic_truth_velocity_no_apn
O_near,3.40755217109745e-06,60.0,2,False,82.38465890067548,10.0,analytic_truth_velocity_no_apn
O_near,1.1578336216899743e-05,45.0,2,False,16.52844502467468,12.0,analytic_truth_velocity_no_apn
O_far,2.7338305764956772e-05,30.0,2,True,9.50305477038033,16.0,analytic_truth_velocity_no_apn
N30,5.040544967194194e-05,30.0,2,True,8.309739789446692,4.0,history_full_track_quadratic
M45,2.8309300041939878e-05,45.0,2,False,16.736120691798508,4.0,history_full_track_quadratic
N30,3.5450426366878673e-05,30.0,2,True,8.845805451190662,6.0,history_full_track_quadratic
M45,2.237174965102895e-05,45.0,2,False,16.471668094150335,6.0,history_full_track_quadratic
N30,3.327959534082936e-05,30.0,2,True,9.25705011395171,8.0,history_full_track_quadratic
M45,2.1129788560614315e-05,45.0,2,False,17.03440841011986,8.0,history_full_track_quadratic
stress60,1.3349233924486725e-05,60.0,2,False,114.73050816079831,8.0,history_full_track_quadratic
O_near,1.5936333909394307e-05,60.0,2,False,318.36316174407546,10.0,history_full_track_quadratic
O_near,1.601751423052633e-05,45.0,2,False,21.75195851617771,12.0,history_full_track_quadratic
O_far,2.711156068180287e-05,30.0,2,True,12.030386363637877,16.0,history_full_track_quadratic
N30,5.0546325770284284e-05,30.0,2,True,8.453272960961826,4.0,history_track_quadratic_no_apn
M45,2.8517155740814815e-05,45.0,2,False,16.843616892262812,4.0,history_track_quadratic_no_apn
N30,3.5057294011764384e-05,30.0,2,True,9.053174682440691,6.0,history_track_quadratic_no_apn
M45,2.2149012803396317e-05,45.0,2,False,16.65666837287487,6.0,history_track_quadratic_no_apn
N30,3.306134047065257e-05,30.0,2,True,9.469734072386116,8.0,history_track_quadratic_no_apn
M45,1.9949388494922005e-05,45.0,2,False,16.970206973611965,8.0,history_track_quadratic_no_apn
stress60,1.3799470423236926e-05,60.0,2,False,154.8061182803229,8.0,history_track_quadratic_no_apn
O_near,1.7012181103837065e-05,60.0,2,False,438.807145458454,10.0,history_track_quadratic_no_apn
O_near,1.5605295367038252e-05,45.0,2,False,23.665814307670466,12.0,history_track_quadratic_no_apn
O_far,2.6712874413803434e-05,30.0,2,True,12.251099290092835,16.0,history_track_quadratic_no_apn
N30,5.052971391350525e-05,30.0,2,True,9.391942521623728,4.0,history_track_velocity_no_apn
M45,2.928335439733587e-05,45.0,2,False,18.097377536911956,4.0,history_track_velocity_no_apn
N30,3.4920083507472555e-05,30.0,2,True,9.619445294234096,6.0,history_track_velocity_no_apn
M45,2.2029927929878568e-05,45.0,2,False,17.581154896911855,6.0,history_track_velocity_no_apn
N30,3.308385844214001e-05,30.0,2,True,9.978413408664593,8.0,history_track_velocity_no_apn
M45,1.9865618380521255e-05,45.0,2,False,17.897210305336067,8.0,history_track_velocity_no_apn
stress60,1.3851655353391834e-05,60.0,2,False,161.66665018613642,8.0,history_track_velocity_no_apn
O_near,1.6951892291672266e-05,60.0,2,False,453.6821815750028,10.0,history_track_velocity_no_apn
O_near,1.5554874025269783e-05,45.0,2,False,24.801857638098827,12.0,history_track_velocity_no_apn
O_far,2.6797913426079845e-05,30.0,2,True,12.836885034981574,16.0,history_track_velocity_no_apn
N30,5.031516149145432e-05,30.0,2,True,9.46101350511436,4.0,legacy_full_track_quadratic
M45,2.8729772402869003e-05,45.0,2,False,22.4382466308134,4.0,legacy_full_track_quadratic
N30,3.528711153855113e-05,30.0,2,True,10.266867992309365,6.0,legacy_full_track_quadratic
M45,2.1805289453169507e-05,45.0,2,False,22.10102141518329,6.0,legacy_full_track_quadratic
N30,3.3074163239277254e-05,30.0,2,True,10.963462838095023,8.0,legacy_full_track_quadratic
M45,2.0569672276593565e-05,45.0,2,False,24.448064199657466,8.0,legacy_full_track_quadratic
stress60,1.3405469047711449e-05,60.0,2,False,221.45977278897487,8.0,legacy_full_track_quadratic
O_near,1.616903614376497e-05,60.0,2,False,612.3603644743156,10.0,legacy_full_track_quadratic
O_near,1.687467305799828e-05,45.0,2,False,48.46192257522604,12.0,legacy_full_track_quadratic
O_far,2.6619813670691883e-05,30.0,2,False,17.010268543905575,16.0,legacy_full_track_quadratic
N30,5.0439296552795554e-05,30.0,2,True,9.653494140368618,4.0,legacy_no_apn
M45,2.8910393140790802e-05,45.0,2,False,22.4506744050716,4.0,legacy_no_apn
N30,3.487244290489855e-05,30.0,2,True,10.556771106568362,6.0,legacy_no_apn
M45,2.1618499328468488e-05,45.0,2,False,22.42349495074992,6.0,legacy_no_apn
N30,3.285414202913728e-05,30.0,2,True,11.257473106212718,8.0,legacy_no_apn
M45,2.000265427426484e-05,45.0,2,False,25.97863789189384,8.0,legacy_no_apn
stress60,1.4421939226849645e-05,60.0,2,False,290.34286692510756,8.0,legacy_no_apn
O_near,1.628196639558155e-05,60.0,2,False,714.3840073577862,10.0,legacy_no_apn
O_near,1.6584834206412324e-05,45.0,2,False,55.99853986184682,12.0,legacy_no_apn
O_far,2.6292038583619615e-05,30.0,2,False,17.54218347125436,16.0,legacy_no_apn
N30,4.9981206721227966e-05,30.0,2,True,0.4032820803221484,4.0,legacy_no_capture
M45,1.910931243997993e-05,45.0,2,False,28.22425285720938,4.0,legacy_no_capture
N30,3.1145276408284066e-05,30.0,2,True,0.0032191216825466582,6.0,legacy_no_capture
M45,1.523464888464332e-05,45.0,2,False,50.7856079761083,6.0,legacy_no_capture
N30,3.216075310039784e-05,30.0,2,True,0.004311413272165297,8.0,legacy_no_capture
M45,1.5753981642774306e-05,45.0,2,False,107.94269353805804,8.0,legacy_no_capture
stress60,2.1178015231271274e-05,60.0,2,False,1828.7335785459147,8.0,legacy_no_capture
O_near,2.279802629345795e-05,60.0,2,False,2501.707111754845,10.0,legacy_no_capture
O_near,1.792051085658386e-05,45.0,2,False,309.09280719459775,12.0,legacy_no_capture
O_far,3.2452062835964385e-05,30.0,2,True,0.023909580732032025,16.0,legacy_no_capture
N30,4.9981206721227966e-05,30.0,2,True,0.4032820803221484,4.0,legacy_no_capture_no_lead
M45,1.910931243997993e-05,45.0,2,False,28.22425285720938,4.0,legacy_no_capture_no_lead
N30,3.1145276408284066e-05,30.0,2,True,0.0032191216825466582,6.0,legacy_no_capture_no_lead
M45,1.523464888464332e-05,45.0,2,False,50.7856079761083,6.0,legacy_no_capture_no_lead
N30,3.216075310039784e-05,30.0,2,True,0.004311413272165297,8.0,legacy_no_capture_no_lead
M45,1.5753981642774306e-05,45.0,2,False,107.94269353805804,8.0,legacy_no_capture_no_lead
stress60,2.1178015231271274e-05,60.0,2,False,1828.7335785459147,8.0,legacy_no_capture_no_lead
O_near,2.279802629345795e-05,60.0,2,False,2501.707111754845,10.0,legacy_no_capture_no_lead
O_near,1.792051085658386e-05,45.0,2,False,309.09280719459775,12.0,legacy_no_capture_no_lead
O_far,3.2452062835964385e-05,30.0,2,True,0.023909580732032025,16.0,legacy_no_capture_no_lead
N30,4.7868455780530894e-05,30.0,2,False,49.415998524064136,4.0,legacy_no_lead
M45,2.4771162671299862e-05,45.0,2,False,100.36984335070778,4.0,legacy_no_lead
N30,3.1580827950961066e-05,30.0,2,False,54.050944826688244,6.0,legacy_no_lead
M45,1.7405613746745985e-05,45.0,2,False,105.88012180848435,6.0,legacy_no_lead
N30,3.032244438827547e-05,30.0,2,False,58.961925058196385,8.0,legacy_no_lead
M45,1.3184803421495417e-05,45.0,2,False,117.61464432706939,8.0,legacy_no_lead
stress60,1.1141588743157627e-05,60.0,2,False,435.2303894551035,8.0,legacy_no_lead
O_near,1.4053234167477058e-05,60.0,2,False,764.5363671826051,10.0,legacy_no_lead
O_near,1.0693651489646072e-05,45.0,2,False,212.62988109401243,12.0,legacy_no_lead
O_far,2.0038773939745624e-05,30.0,2,False,97.46037296330275,16.0,legacy_no_lead
N30,4.852455594317462e-05,30.0,2,False,15.17895832106656,4.0,legacy_no_pn
M45,2.6068516209676318e-05,45.0,2,False,28.54798836480616,4.0,legacy_no_pn
N30,3.1575150156726295e-05,30.0,2,False,17.388639029235257,6.0,legacy_no_pn
M45,1.8477251025217356e-05,45.0,2,False,31.68329319658899,6.0,legacy_no_pn
N30,2.8159635011348882e-05,30.0,2,False,20.716790337441054,8.0,legacy_no_pn
M45,1.6107091212802516e-05,45.0,2,False,57.09194133809194,8.0,legacy_no_pn
stress60,1.650898082061758e-05,60.0,2,False,883.9829624718034,8.0,legacy_no_pn
O_near,1.852884406616795e-05,60.0,2,False,1681.3726210583245,10.0,legacy_no_pn
O_near,1.8755789369606646e-05,45.0,2,False,605.2967444084244,12.0,legacy_no_pn
O_far,1.865698781955416e-05,30.0,2,False,61.67800400242443,16.0,legacy_no_pn
N30,5.036528874846624e-05,30.0,2,True,10.81244637193122,4.0,legacy_track_velocity_no_apn
M45,2.9116845489340903e-05,45.0,2,False,24.022232366575167,4.0,legacy_track_velocity_no_apn
N30,3.472506880619619e-05,30.0,2,True,11.2570912870138,6.0,legacy_track_velocity_no_apn
M45,2.1319298877386927e-05,45.0,2,False,23.818083037961955,6.0,legacy_track_velocity_no_apn
N30,3.278939381523571e-05,30.0,2,True,11.888331937820034,8.0,legacy_track_velocity_no_apn
M45,1.9685135086433547e-05,45.0,2,False,27.678077034301744,8.0,legacy_track_velocity_no_apn
stress60,1.4526867744280025e-05,60.0,2,False,300.38784346565205,8.0,legacy_track_velocity_no_apn
O_near,1.631107090815931e-05,60.0,2,False,726.8229802553631,10.0,legacy_track_velocity_no_apn
O_near,1.639476285930641e-05,45.0,2,False,59.36587885578642,12.0,legacy_track_velocity_no_apn
O_far,2.5614359717707202e-05,30.0,2,False,18.096994613418474,16.0,legacy_track_velocity_no_apn
N30,5.0524590614386966e-05,30.0,2,True,9.933506985560594,4.0,legacy_truth_velocity_no_apn
M45,2.9096265961925383e-05,45.0,2,False,23.29446891569258,4.0,legacy_truth_velocity_no_apn
N30,3.47183008155838e-05,30.0,2,True,10.420182171750046,6.0,legacy_truth_velocity_no_apn
M45,2.1412679132026824e-05,45.0,2,False,22.88241557218522,6.0,legacy_truth_velocity_no_apn
N30,3.275918339262773e-05,30.0,2,True,11.013465778932925,8.0,legacy_truth_velocity_no_apn
M45,1.8126004270868634e-05,45.0,2,False,24.884438260363936,8.0,legacy_truth_velocity_no_apn
stress60,3.693158078021952e-06,60.0,2,False,100.78690015256626,8.0,legacy_truth_velocity_no_apn
O_near,8.529981528226926e-06,60.0,2,False,376.3724483475031,10.0,legacy_truth_velocity_no_apn
O_near,5.3607913841347e-06,45.0,2,False,32.632865756360786,12.0,legacy_truth_velocity_no_apn
O_far,2.574843653135872e-05,30.0,2,False,16.79275418267087,16.0,legacy_truth_velocity_no_apn
