delay_steps,episodes,release_episode_count,release_rate,effects_episode_count,effects_rate,effects_given_release_rate,damage_episode_count,damage_rate,damage_given_release_rate,mission_kill_episode_count,mission_kill_rate,mission_kill_given_release_rate,destroyed_episode_count,destroyed_rate,destroyed_given_release_rate,mean_first_release_step,mean_release_range_geom_m,mean_release_range_track_m,mean_release_window_age_steps,mean_total_reward,mean_final_target_health,mean_target_health_delta_from_release,mean_damage_consequence_reward_total,mean_target_damage_consequence_reward_total,mean_miss_distance_m,mean_closure_mps,mean_component_failure_probability,mean_component_failure_sample,mean_component_damage_count,mean_component_integrity_delta,mean_system_health_delta,mean_mission_capability_before,mean_mission_capability_after,mean_mission_capability_delta,mean_mobility_capability_before,mean_mobility_capability_after,mean_mobility_capability_delta,mean_sensor_capability_before,mean_sensor_capability_after,mean_sensor_capability_delta,mean_survivability_margin_before,mean_survivability_margin_after,mean_survivability_margin_delta,mean_control_delta,mean_engine_delta,mean_fuel_leak_delta,loss_state_counts,fire_state_counts,aircraft_damage_state_delta_counts,air_system_hit_flags_counts,vulnerability_scale_trace_counts,component_name_counts,component_damage_name_counts,termination_reason_counts
0,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,34961.02610221948,34980.35568411178,0.0,521.547837796621,nan,nan,0.0,0.0,12.12073431248813,619.8079706044857,nan,nan,0.0,nan,-0.025808343424981263,1.0,0.9741916565750188,-0.025808343424981263,1.0,1.0,0.0,1.0,0.9915039999999999,-0.008496000000000014,1.0,0.9955936,-0.00440640000000001,0.0,0.0,0.0,{'combat_capable': 5},"{'fire=0.000000->0.000000': 3, 'fire=0.000000->0.004296': 2}","{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=-0.028346,structure=-0.003084,crew=-0.020664,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.020664,fire=0.004296': 1, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=-0.036350,structure=-0.003084,crew=-0.100695,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.100695,fire=0.004296': 1, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 3}","{'': 3, 'sensor=1,propulsion_or_fuel=0,propulsion=0,fuel=0,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=1,mission_or_combat=1,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=0,mission_fire_zone=1,structure=0': 2}","{'': 3, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=nose,family=1.000000,aspect_scale=1.000000,closure_mps=613.884151,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=0.859000,source=profile_scale,row=': 2}",{'': 5},{'': 5},{'running': 5}
32,5,5,1.0,5,1.0,1.0,5,1.0,1.0,3,0.6,0.6,0,0.0,0.0,34.0,34343.29714790461,34980.35568411178,0.0,521.54782345891,nan,nan,0.0,0.0,4.185755804165053,586.1339593834196,0.6189909526635036,0.41465390094163135,0.8,-0.27323988702530655,-0.6537227927832396,1.0,0.34627720721676036,-0.6537227927832396,1.0,0.922830227324018,-0.07716977267598199,1.0,0.6468773017029429,-0.35312269829705706,1.0,0.8048295982603854,-0.19517040173961467,-0.07716977267598199,0.0,0.18446939282296587,"{'combat_capable': 2, 'mission_kill': 3}","{'fire=0.000000->0.000000': 1, 'fire=0.000000->0.167152': 1, 'fire=0.000000->0.208223': 1, 'fire=0.000000->0.227370': 1, 'fire=0.000000->0.232854': 1}","{'control=-0.096462,hydraulic=-0.071733,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.182444,fuel_leak=0.153981,avionics=-0.753894,structure=-0.087783,crew=-0.413727,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.413727,fire=0.167152': 1, 'control=-0.096462,hydraulic=-0.071733,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.304585,fuel_leak=0.256122,avionics=-0.740798,structure=-0.087783,crew=-0.282770,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.282770,fire=0.208223': 1, 'control=-0.096462,hydraulic=-0.071733,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.304585,fuel_leak=0.256122,avionics=-0.873799,structure=-0.087783,crew=-0.413727,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.413727,fire=0.227370': 1, 'control=-0.096462,hydraulic=-0.071733,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.304585,fuel_leak=0.256122,avionics=-0.900123,structure=-0.087783,crew=-0.413727,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.413727,fire=0.232854': 1, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 1}","{'': 1, 'sensor=1,propulsion_or_fuel=1,propulsion=0,fuel=1,control=1,crew=0,pilot=0,mission_crew=0,command_navigation=1,mission_or_combat=1,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=1,fuselage_fire_zone=1,mission_fire_zone=1,structure=1': 4}","{'': 1, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=nose,family=1.000000,aspect_scale=1.000000,closure_mps=552.375999,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=0.950041,source=profile_scale,row=': 4}",{'': 5},"{'': 1, 'eo_ir_sensor_turret': 3, 'synthetic_aperture_radar': 1}",{'running': 5}
64,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,66.0,33732.36535325037,34207.72552413422,0.0,521.5478087002411,nan,nan,0.0,0.0,11.59508121486277,606.95401348273,nan,nan,0.0,nan,-0.022844458788502654,1.0,0.9771555412114974,-0.022844458788502654,1.0,1.0,0.0,1.0,0.9829286925172973,-0.017071307482702646,1.0,0.9911158232655677,-0.00888417673443236,0.0,0.0,0.0,{'combat_capable': 5},"{'fire=0.000000->0.000000': 1, 'fire=0.000000->0.004336': 4}","{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=-0.028556,structure=-0.003119,crew=-0.020773,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.020773,fire=0.004336': 4, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 1}","{'': 1, 'sensor=1,propulsion_or_fuel=0,propulsion=0,fuel=0,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=1,mission_or_combat=1,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=0,mission_fire_zone=1,structure=0': 4}","{'': 1, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=nose,family=1.000000,aspect_scale=1.000000,closure_mps=599.756274,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=0.859000,source=profile_scale,row=': 4}",{'': 5},{'': 5},{'running': 5}
128,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,130.0,32512.645916338708,33425.44427156177,0.0,521.5478384774178,nan,nan,0.0,0.0,8.656569278476168,626.0993437368253,nan,nan,0.0,nan,-0.23096009546626198,1.0,0.769039904533738,-0.23096009546626198,1.0,1.0,0.0,1.0,0.917079239300239,-0.08292076069976106,1.0,0.966882714207715,-0.03311728579228497,0.0,0.0,0.009883917985675752,{'combat_capable': 5},"{'fire=0.000000->0.000000': 1, 'fire=0.000000->0.020450': 4}","{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.016244,fuel_leak=0.012355,avionics=-0.286682,structure=-0.011931,crew=-0.115855,pilot=0.000000,mission_crew=-0.020152,command_navigation=-0.115855,fire=0.020450': 3, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=-0.016244,fuel_leak=0.012355,avionics=-0.294754,structure=-0.011931,crew=-0.196568,pilot=0.000000,mission_crew=-0.020152,command_navigation=-0.196568,fire=0.020450': 1, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 1}","{'': 1, 'sensor=1,propulsion_or_fuel=1,propulsion=0,fuel=1,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=1,mission_or_combat=1,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=1,mission_fire_zone=1,structure=0': 4}","{'': 1, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=nose,family=1.000000,aspect_scale=1.000000,closure_mps=618.986568,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=0.881257,source=profile_scale,row=': 4}",{'': 5},{'': 5},{'running': 5}
256,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,258.0,30032.879526503333,30371.08794767789,0.0,521.5478163184598,nan,nan,0.0,0.0,12.88692271484168,667.598680608083,nan,nan,0.0,nan,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,{'combat_capable': 5},{'fire=0.000000->0.000000': 5},"{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 5}","{'': 3, 'sensor=0,propulsion_or_fuel=0,propulsion=0,fuel=0,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=0,mission_or_combat=0,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=0,mission_fire_zone=0,structure=0': 2}","{'': 3, 'present=0,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=unknown,family=1.000000,aspect_scale=1.000000,closure_mps=0.000000,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=1.000000,source=profile_scale,row=': 2}",{'': 5},{'': 5},{'running': 5}
512,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,514.0,24873.281838004277,25547.438954716497,0.0,521.5478316647932,nan,nan,0.0,0.0,12.566817194733881,717.3787920963138,nan,nan,0.0,nan,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,{'combat_capable': 5},{'fire=0.000000->0.000000': 5},"{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 5}","{'': 3, 'sensor=0,propulsion_or_fuel=0,propulsion=0,fuel=0,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=0,mission_or_combat=0,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=0,mission_fire_zone=0,structure=0': 2}","{'': 3, 'present=0,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=unknown,family=1.000000,aspect_scale=1.000000,closure_mps=0.000000,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=1.000000,source=profile_scale,row=': 2}",{'': 5},{'': 5},{'running': 5}
768,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,770.0,19530.409131596003,19686.58107635083,0.0,521.5478318920359,nan,nan,0.0,0.0,5.140292490890326,769.2712269737514,0.9499999999999998,0.5969739501692397,0.6,-0.4128,-0.3395446076216267,1.0,0.6604553923783734,-0.3395446076216267,1.0,1.0,0.0,1.0,0.6637604513328804,-0.3362395486671196,1.0,0.928321145160448,-0.0716788548395521,0.0,0.0,0.0,{'combat_capable': 5},"{'fire=0.000000->0.000000': 2, 'fire=0.000000->0.090283': 3}","{'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=-0.565908,structure=-0.085633,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.090283': 3, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 2}","{'': 2, 'sensor=1,propulsion_or_fuel=0,propulsion=0,fuel=0,control=0,crew=0,pilot=0,mission_crew=0,command_navigation=0,mission_or_combat=0,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=0,wing_fire_zone=0,fuselage_fire_zone=0,mission_fire_zone=1,structure=0': 3}","{'': 2, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=nose,family=1.000000,aspect_scale=1.000000,closure_mps=757.305344,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=1.000000,source=profile_scale,row=': 3}",{'': 5},"{'': 2, 'eo_ir_sensor_turret': 3}",{'running': 5}
1024,5,5,1.0,5,1.0,1.0,5,1.0,1.0,0,0.0,0.0,0,0.0,0.0,1026.0,14109.67109490131,14607.249241784908,0.0,521.5478318920359,nan,nan,0.0,0.0,4.821206047153822,861.2614459783854,0.641024,0.41464976185539093,0.8,-0.2585783260569601,-0.46400949379803863,1.0,0.609137862120588,-0.39086213787941204,1.0,0.5359905062019614,-0.46400949379803863,1.0,0.9647080366080001,-0.035291963392000004,1.0,0.8663796272422445,-0.13362037275775546,-0.10838296040351966,-0.46400949379803863,0.25995712774742413,{'combat_capable': 5},"{'fire=0.000000->0.000000': 1, 'fire=0.000000->0.144048': 1, 'fire=0.000000->0.197022': 1, 'fire=0.000000->0.227094': 2}","{'control=-0.135479,hydraulic=-0.038674,hydraulic_pressure=0.000000,propulsion=-0.580012,fuel=-0.267069,fuel_leak=0.230486,avionics=-0.402405,structure=-0.084539,crew=-0.064135,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.064135,fire=0.144048': 1, 'control=-0.135479,hydraulic=-0.038674,hydraulic_pressure=0.000000,propulsion=-0.580012,fuel=-0.413016,fuel_leak=0.356433,avionics=-0.402405,structure=-0.084539,crew=-0.064135,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.064135,fire=0.197022': 1, 'control=-0.135479,hydraulic=-0.038674,hydraulic_pressure=0.000000,propulsion=-0.580012,fuel=-0.413016,fuel_leak=0.356433,avionics=-0.574750,structure=-0.084539,crew=-0.064135,pilot=0.000000,mission_crew=0.000000,command_navigation=-0.064135,fire=0.227094': 2, 'control=0.000000,hydraulic=0.000000,hydraulic_pressure=0.000000,propulsion=0.000000,fuel=0.000000,fuel_leak=0.000000,avionics=0.000000,structure=0.000000,crew=0.000000,pilot=0.000000,mission_crew=0.000000,command_navigation=0.000000,fire=0.000000': 1}","{'': 1, 'sensor=0,propulsion_or_fuel=1,propulsion=1,fuel=1,control=1,crew=0,pilot=0,mission_crew=0,command_navigation=0,mission_or_combat=1,fire_suppression=0,lateral_fuel_storage=0,hydraulic_supply=0,engine_fire_zone=1,wing_fire_zone=1,fuselage_fire_zone=1,mission_fire_zone=1,structure=1': 4}","{'': 1, 'present=1,calibrated=0,pk_authority=0,deterministic_fuze_authority=0,aspect=tail,family=1.000000,aspect_scale=1.000000,closure_mps=0.000000,closure_scale=1.000000,miss_distance_scale=1.000000,effect_scale=0.967000,source=profile_scale,row=': 4}",{'': 5},"{'': 1, 'rear_engine_block': 4}",{'running': 5}
1280,5,5,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1282.0,8693.177724793837,8707.105274143725,0.0,521.5478318920359,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'running': 5}
1536,5,5,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1538.0,3398.630277252166,4574.382081540312,0.0,521.5478318920359,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'': 5},{'running': 5}
